sub_category,numerator,denominator,multiple
save_perc,saves,sot_ag,100
clean_sheet_perc,saves,sot_ag,100
pk_save_perc,pk_saved,pk_att_ag,100
launch_completion,cmp_launch,att_launch,100
goal_kick_launch_perc,goal_kicks_launched,att_goal_kick,100
cross_stop_perc,stop_cross_ag,att_cross_ag,100
pass_completion,cmp_pass,att_pass,100
pass_completion_short,cmp_pass_short,att_pass_short,100
pass_completion_medium,cmp_pass_medium,att_pass_medium,100
pass_completion_long,cmp_pass_long,att_pass_long,100
dribbler_tackle_perc,cmp_drib_tackle,att_drib_tackle,100
take_on_success,cmp_take_on,att_take_on,100
avg_gk_pass_len,gk_pass_len,att_gk_pass,1
avg_goal_kick_len,goal_kick_len,att_goal_kick,1
avg_def_outside_pen_dist,def_outside_pen_dist,def_outside_pen,1
goal_per_shot,goals,shot,1
goal_per_sot,goals,shot_on_target,1
npxg_per_shot,npxg,shot,1
avg_shot_dist,tot_shot_dist,shot,1
aerial_success,aerials_won,aerials_attempted,100
launch_perc,att_launch_non_goal_kick,att_pass_non_goal_kick,100
prog_passes_per_pass,prog_pass,cmp_pass,1
non_pen_goal_per_non_pen_shot,non_penalty_goals,non_pen_shots,1
key_pass_per_pass,key_pass,cmp_pass,1
opp_pen_pass_per_pass,opp_pen_pass,cmp_pass,1

