id,att_tackle,cmp_tackle,att_tackle_def,att_tackle_mid,att_tackle_att,cmp_drib_tackle,att_drib_tackle,uns_drib_tackle,block,block_shot,block_pass,intercept,tackle_plus_intercept,clearance,error,season,comp
00844823,36,28,22,13,1,24,36,12,21,9,12,38,74,98,2,18,GER
00a6485f,46,29,27,16,3,21,31,10,32,2,30,19,65,46,1,18,GER
012c38ec,2,1,1,0,1,1,2,1,1,0,1,0,2,0,1,18,GER
016ff750,33,28,11,12,10,15,31,16,35,2,33,15,48,32,0,18,GER
0174ba21,2,2,1,0,1,0,1,1,1,1,0,0,2,1,0,18,GER
01c3aff5,36,23,11,21,4,13,32,19,16,2,14,20,56,32,0,18,GER
01e5f06e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,GER
03bd0bf4,51,36,38,12,1,31,46,15,39,21,18,55,106,200,1,18,GER
042e8a49,11,10,2,6,3,5,10,5,6,0,6,7,18,1,0,18,GER
048a1cbc,10,8,5,4,1,2,5,3,3,0,3,11,21,8,0,18,GER
04c11885,44,25,19,23,2,22,37,15,38,7,31,20,64,46,1,18,GER
05439de2,23,14,11,9,3,14,20,6,21,6,15,10,33,23,0,18,GER
05d548d8,62,52,41,18,3,35,51,16,31,12,19,55,117,59,2,18,GER
061e8e23,24,19,9,12,3,6,19,13,12,0,12,6,30,7,0,18,GER
070ec0b1,51,37,33,18,0,26,34,8,49,21,28,50,101,123,1,18,GER
080440a4,79,51,55,22,2,47,61,14,40,27,13,49,128,135,3,18,GER
088ca1bd,23,16,6,13,4,11,18,7,16,1,15,10,33,35,1,18,GER
09586899,14,11,1,7,6,4,12,8,9,0,9,4,18,4,0,18,GER
096a77c4,4,2,2,2,0,4,7,3,2,0,2,0,4,1,0,18,GER
0a1cb833,1,1,1,0,0,0,0,0,2,0,2,0,1,17,4,18,GER
0a89e877,42,28,23,16,3,27,43,16,23,3,20,31,73,32,0,18,GER
0b4f388a,14,10,3,7,4,2,9,7,13,0,13,6,20,3,0,18,GER
0cf778df,4,3,1,2,1,2,5,3,3,0,3,0,4,1,0,18,GER
0d55d942,0,0,0,0,0,0,1,1,0,0,0,0,0,9,1,18,GER
0d8a37c2,1,1,1,0,0,1,2,1,0,0,0,0,1,5,1,18,GER
0dabaf14,9,6,2,5,2,4,10,6,2,0,2,4,13,3,0,18,GER
0eb5720b,45,32,32,11,2,22,37,15,28,12,16,21,66,91,3,18,GER
0f26fd24,20,14,10,6,4,6,8,2,2,0,2,9,29,7,0,18,GER
0fbecd11,49,26,20,25,4,25,41,16,39,5,34,30,79,24,0,18,GER
1025db8e,57,44,36,18,3,27,41,14,36,10,26,54,111,128,0,18,GER
106bca06,22,17,10,9,3,11,23,12,16,0,16,15,37,13,1,18,GER
11dbba47,37,24,21,14,2,12,28,16,22,1,21,10,47,7,0,18,GER
11fd2b75,20,16,8,12,0,10,18,8,14,1,13,21,41,10,0,18,GER
1238a3f9,13,10,1,5,7,4,9,5,26,5,21,2,15,20,1,18,GER
125cb9fe,19,14,15,4,0,8,10,2,8,6,2,20,39,49,1,18,GER
126cf855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,GER
13ddc856,7,5,3,3,1,2,8,6,7,0,7,3,10,2,0,18,GER
140afefb,21,14,17,4,0,11,19,8,21,3,18,6,27,10,2,18,GER
15413fa5,56,42,24,29,3,28,54,26,27,5,22,29,85,22,1,18,GER
15b287da,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,18,GER
15ea94de,0,0,0,0,0,0,4,4,1,0,1,0,0,1,1,18,GER
16b8fabd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,GER
16daec92,56,44,21,27,8,20,52,32,38,1,37,39,95,22,1,18,GER
17370b95,43,30,18,22,3,29,40,11,30,6,24,18,61,81,0,18,GER
17376543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,GER
