id,sca,sca_pass_live,sca_pass_dead,sca_take_on,sca_shot,sca_fouled,sca_def,gca,gca_pass_live,gca_pass_dead,gca_take_on,gca_shot,gca_fouled,gca_def,season,comp
00459419,80,51,2,15,7,4,1,16,10,0,3,2,0,1,18,ENG
008a6e6d,21,21,0,0,0,0,0,3,3,0,0,0,0,0,18,ENG
00963611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
01226327,76,54,12,4,4,1,1,7,4,1,1,1,0,0,18,ENG
02b29014,99,83,1,6,4,1,4,7,6,0,1,0,0,0,18,ENG
032f894e,17,12,2,1,0,2,0,1,0,1,0,0,0,0,18,ENG
0356cf4f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
0420d84f,17,12,1,2,1,1,0,2,2,0,0,0,0,0,18,ENG
0442183b,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
07802f7f,7,4,0,1,1,0,1,1,0,0,0,1,0,0,18,ENG
08aa17d0,59,49,1,4,1,4,0,2,2,0,0,0,0,0,18,ENG
099e666f,19,15,1,0,2,1,0,4,1,0,0,2,1,0,18,ENG
0c61c77c,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
0cc5f4a5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
0d267745,36,32,0,0,4,0,0,1,1,0,0,0,0,0,18,ENG
0db5d2c8,19,16,1,0,0,0,2,4,4,0,0,0,0,0,18,ENG
0e6bc38c,59,40,0,6,7,5,1,10,7,0,1,2,0,0,18,ENG
0ef89a37,92,57,13,11,6,4,1,16,8,2,4,0,2,0,18,ENG
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
101da2b5,74,63,0,2,3,3,3,13,13,0,0,0,0,0,18,ENG
10b9fa99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
111c3236,40,36,1,2,0,1,0,6,5,0,1,0,0,0,18,ENG
1148323a,2,2,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG
119b9a8e,12,10,1,0,1,0,0,2,1,1,0,0,0,0,18,ENG
11b9265b,34,27,1,1,2,2,1,3,2,0,0,0,1,0,18,ENG
129af0db,83,59,2,6,8,8,0,8,7,0,0,0,1,0,18,ENG
12aa7661,67,25,32,4,4,0,2,4,1,3,0,0,0,0,18,ENG
15ea812b,23,20,0,1,2,0,0,3,2,0,0,1,0,0,18,ENG
15f3ec41,2,1,0,0,1,0,0,0,0,0,0,0,0,0,18,ENG
15fd5593,4,4,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
16380240,161,133,17,5,4,2,0,17,10,3,1,2,1,0,18,ENG
1695c659,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
16ceb862,35,30,0,1,4,0,0,1,1,0,0,0,0,0,18,ENG
1840e36d,4,3,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG
184e4970,48,35,6,1,3,1,2,4,2,1,0,1,0,0,18,ENG
189cee7b,44,30,0,8,1,5,0,4,0,0,2,1,1,0,18,ENG
18b896d6,18,16,0,0,2,0,0,4,4,0,0,0,0,0,18,ENG
18e96f64,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1931bde9,49,31,0,8,4,6,0,0,0,0,0,0,0,0,18,ENG
199ff86e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
19b8b0b9,39,27,1,5,3,3,0,5,4,0,0,1,0,0,18,ENG
19ba6c6d,30,21,0,3,4,2,0,4,2,0,2,0,0,0,18,ENG
1a160ea3,15,10,1,2,2,0,0,1,0,0,0,1,0,0,18,ENG
1a2935f6,21,17,0,0,4,0,0,3,2,0,0,1,0,0,18,ENG
1a4ef233,2,0,1,0,0,1,0,1,0,1,0,0,0,0,18,ENG
1ae30132,14,12,2,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1b780599,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1b7ec703,25,17,0,5,2,1,0,2,2,0,0,0,0,0,18,ENG
1bebde9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1bf811d4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1c7012b8,10,9,1,0,0,0,0,1,1,0,0,0,0,0,18,ENG
1cb49278,17,14,0,0,2,0,1,2,2,0,0,0,0,0,18,ENG
1d387eee,10,10,0,0,0,0,0,1,1,0,0,0,0,0,18,ENG
1d6ac165,20,14,0,0,2,4,0,1,0,0,0,1,0,0,18,ENG
1d8c99b0,36,22,13,0,1,0,0,5,1,4,0,0,0,0,18,ENG
1e0b6a73,46,40,2,2,1,0,1,2,1,0,0,1,0,0,18,ENG
1e26e376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1ecb65be,38,23,1,4,2,8,0,5,4,0,1,0,0,0,18,ENG
1ef37668,37,29,4,1,0,3,0,2,2,0,0,0,0,0,18,ENG
1f9a3a04,12,8,0,1,1,2,0,0,0,0,0,0,0,0,18,ENG
20b104bc,53,39,3,8,1,1,1,6,5,0,1,0,0,0,18,ENG
210d9ecb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
21512407,72,59,11,1,0,1,0,9,7,2,0,0,0,0,18,ENG
21a66e33,6,6,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
21a66f6a,125,71,1,22,21,9,1,14,9,0,4,1,0,0,18,ENG
22551915,28,22,2,1,0,2,1,4,2,0,1,0,0,1,18,ENG
2475dcc6,122,96,8,9,5,4,0,9,6,0,2,1,0,0,18,ENG
24fae784,3,3,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
25b166d0,9,6,0,0,2,1,0,1,1,0,0,0,0,0,18,ENG
25f50295,9,7,0,0,2,0,0,0,0,0,0,0,0,0,18,ENG
2649ff32,13,11,0,1,1,0,0,0,0,0,0,0,0,0,18,ENG
26679cdf,16,12,0,1,1,1,1,1,1,0,0,0,0,0,18,ENG
2691c772,51,34,0,4,2,11,0,7,5,0,1,0,1,0,18,ENG
26f6dca8,86,56,11,9,2,8,0,12,9,1,1,0,1,0,18,ENG
27d7453c,7,5,0,0,1,1,0,2,2,0,0,0,0,0,18,ENG
282f75f3,32,21,0,1,6,2,2,3,1,0,0,1,1,0,18,ENG
285a3d44,10,7,0,0,2,0,1,2,2,0,0,0,0,0,18,ENG
29733c72,98,77,11,4,1,5,0,9,8,0,1,0,0,0,18,ENG
2973d8ff,9,7,0,1,1,0,0,2,2,0,0,0,0,0,18,ENG
2acd49b9,49,44,0,3,1,0,1,2,2,0,0,0,0,0,18,ENG
2afc7272,65,53,5,3,2,1,1,6,6,0,0,0,0,0,18,ENG
2b114be3,124,87,8,18,4,6,1,28,18,3,6,1,0,0,18,ENG
2b471f99,33,25,0,4,1,1,2,1,1,0,0,0,0,0,18,ENG
2b622f01,17,12,0,1,0,3,1,1,1,0,0,0,0,0,18,ENG
2b91cf8e,14,10,2,0,0,1,1,1,1,0,0,0,0,0,18,ENG
2baec6ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
2c0f8e9e,171,109,10,20,18,13,1,23,12,1,3,5,2,0,18,ENG
2ce2508a,58,41,8,0,3,3,3,5,4,0,0,1,0,0,18,ENG
2e4f5f03,52,47,3,1,0,1,0,8,8,0,0,0,0,0,18,ENG
2f4c5a52,23,19,2,0,0,0,2,1,0,0,0,0,0,1,18,ENG
2f72f79e,35,24,4,3,1,3,0,2,2,0,0,0,0,0,18,ENG
2f7acede,16,15,0,0,0,0,1,2,2,0,0,0,0,0,18,ENG
2f90f6b8,79,59,15,1,0,3,1,5,4,1,0,0,0,0,18,ENG
2ff964a0,36,22,0,2,7,4,1,6,3,0,0,2,1,0,18,ENG
31dce0c8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3201b03d,15,11,3,0,1,0,0,0,0,0,0,0,0,0,18,ENG
3233eefd,10,8,0,0,1,0,1,1,1,0,0,0,0,0,18,ENG
32e7ce92,4,1,3,0,0,0,0,1,1,0,0,0,0,0,18,ENG
3312f911,35,25,4,4,1,1,0,4,2,1,0,1,0,0,18,ENG
33508c78,168,110,49,2,5,0,2,13,8,5,0,0,0,0,18,ENG
3515d404,60,32,23,0,5,0,0,7,3,3,0,1,0,0,18,ENG
356a9a62,8,6,1,0,1,0,0,0,0,0,0,0,0,0,18,ENG
3680d723,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
36c2ca73,2,1,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3727dd3c,82,57,18,3,3,0,1,7,4,2,0,1,0,0,18,ENG
381d7d54,18,11,0,2,4,1,0,3,1,0,0,2,0,0,18,ENG
3831b9fe,24,19,1,2,0,2,0,2,1,0,1,0,0,0,18,ENG
38aefb74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
38c7feef,87,63,7,10,2,1,4,15,9,0,4,1,0,1,18,ENG
3925dbd6,5,4,0,1,0,0,0,1,0,0,1,0,0,0,18,ENG
3935e52e,50,41,3,3,2,1,0,6,6,0,0,0,0,0,18,ENG
39583cfd,17,9,3,2,1,2,0,1,0,0,0,0,1,0,18,ENG
3a24769f,4,3,0,1,0,0,0,0,0,0,0,0,0,0,18,ENG
3a949a25,3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3bb625ac,12,8,1,2,0,1,0,2,1,0,0,0,1,0,18,ENG
3bb7b8b4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3be1a627,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3c066877,2,2,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
3ca7254a,65,52,1,4,5,2,1,2,2,0,0,0,0,0,18,ENG
3cefa66a,24,17,0,4,1,1,1,2,2,0,0,0,0,0,18,ENG
