id,matches_gk,starts_gk,minutes_gk,nineties_gk,goals_ag,sot_ag,saves,gk_won,gk_drew,gk_lost,cs,pk_att_ag,pk_scored_ag,pk_saved,pk_missed_ag,season,comp
0a1cb833,34,34,3060,34,40,162,123,10,12,12,8,4,2,1,1,18,GER
0d55d942,33,33,2906,32,53,151,102,8,11,14,9,5,4,0,1,18,GER
0d8a37c2,5,4,435,4,10,23,13,1,0,3,1,0,0,0,0,18,GER
16b8fabd,2,1,91,1,4,7,3,0,1,0,0,0,0,0,0,18,GER
17376543,2,1,154,1,3,7,4,0,1,0,0,0,0,0,0,18,GER
1e43fad8,34,34,3015,33,37,127,89,18,9,7,12,6,3,2,1,18,GER
2628fd2b,33,33,2970,33,40,110,70,15,10,8,10,5,5,0,0,18,GER
27d2618c,31,31,2790,31,44,140,97,10,10,11,7,6,5,0,1,18,GER
2e7ff968,32,32,2880,32,42,159,116,10,10,12,9,2,1,1,0,18,GER
3cd9e95a,34,34,3060,34,70,201,130,5,7,22,5,9,8,1,0,18,GER
420c18a1,30,30,2625,29,42,151,110,12,8,10,6,4,4,0,0,18,GER
47064058,34,34,3060,34,48,147,100,15,10,9,10,4,3,1,0,18,GER
4a15e95b,24,24,2160,24,38,95,58,4,6,14,6,4,3,0,1,18,GER
5b52d1f7,2,2,180,2,0,4,4,2,0,0,2,0,0,0,0,18,GER
5c4bf6ba,15,15,1350,15,27,70,44,3,5,7,2,4,4,0,0,18,GER
73e2f6eb,31,31,2790,31,45,158,113,9,9,13,5,3,2,0,1,18,GER
7d3e7da6,29,29,2610,29,26,84,58,23,3,3,12,4,1,3,0,18,GER
7fe12375,2,2,180,2,4,7,3,0,1,1,0,1,1,0,0,18,GER
83e0eeb4,3,3,270,3,9,20,11,1,0,2,0,1,0,0,1,18,GER
8778c910,3,3,270,3,2,7,5,2,0,1,2,0,0,0,0,18,GER
9d12e142,33,33,2969,33,43,145,102,15,9,9,12,3,3,0,0,18,GER
a0606ae8,34,34,3060,34,36,155,117,15,6,13,12,6,4,2,0,18,GER
a165a577,1,1,90,1,4,8,3,0,0,1,0,1,0,1,0,18,GER
ad3389d5,34,34,3060,34,45,133,90,14,7,13,7,3,2,0,1,18,GER
afb0c500,1,0,45,0,0,2,2,0,0,0,1,0,0,0,0,18,GER
bb25c778,3,3,270,3,2,14,12,0,3,0,1,1,1,0,0,18,GER
bcb2ccd8,33,33,2970,33,52,147,95,15,8,10,6,5,5,0,0,18,GER
cbac6ec9,5,5,450,5,7,21,13,1,1,3,1,1,0,1,0,18,GER
d6f6ce93,10,10,900,10,15,47,32,4,1,5,1,0,0,0,0,18,GER
db401046,34,34,3060,34,48,153,104,6,15,13,8,9,6,3,0,18,GER
dc29b608,1,1,90,1,1,4,3,0,0,1,0,0,0,0,0,18,GER
f71890f5,14,14,1260,14,18,53,35,5,3,6,4,2,1,0,1,18,GER
10072610,3,2,226,2,1,5,4,2,0,0,2,0,0,0,0,18,ENG
1148323a,2,2,180,2,6,13,8,1,0,1,0,0,0,0,0,18,ENG
1840e36d,35,35,3150,35,34,106,74,20,6,9,15,2,2,0,0,18,ENG
1bebde9d,1,1,90,1,1,4,4,0,1,0,0,0,0,0,0,18,ENG
1e26e376,1,1,90,1,0,3,3,1,0,0,1,0,0,0,0,18,ENG
32e7ce92,19,19,1710,19,14,45,30,11,5,3,10,3,2,1,0,18,ENG
36c2ca73,18,18,1620,18,26,68,42,3,8,7,4,1,1,0,0,18,ENG
3a949a25,12,12,1080,12,11,37,25,6,1,5,4,1,0,1,0,18,ENG
3bb7b8b4,36,36,3194,35,26,80,54,30,4,2,16,2,0,2,0,18,ENG
4535e4bb,38,38,3420,38,54,172,121,9,13,16,10,3,1,2,0,18,ENG
4806ec67,38,38,3420,38,58,178,119,13,10,15,10,5,3,1,1,18,ENG
4b40d9ca,35,34,3115,34,35,148,113,12,11,11,12,5,3,1,1,18,ENG
53af52f3,33,33,2965,32,47,138,90,11,10,12,8,3,1,2,0,18,ENG
63d17038,1,1,90,1,0,3,3,1,0,0,1,0,0,0,0,18,ENG
71672fa0,34,34,3039,33,48,135,85,16,6,12,11,6,5,1,0,18,ENG
76eca7e2,27,27,2430,27,41,127,88,8,6,13,7,1,1,0,0,18,ENG
7b4de647,38,38,3420,38,61,170,109,11,11,16,6,3,2,1,0,18,ENG
7ba6d84e,37,37,3330,37,28,140,114,24,6,7,18,1,1,0,0,18,ENG
7ca2d989,1,1,90,1,1,3,2,0,1,0,0,0,0,0,0,18,ENG
82b1198a,5,4,381,4,3,12,9,3,0,1,2,0,0,0,0,18,ENG
85b011bb,15,14,1292,14,24,56,32,4,3,7,4,3,3,0,0,18,ENG
8e65a5e5,11,11,990,11,14,43,29,3,5,3,2,1,1,0,0,18,ENG
8f62b6ee,36,36,3240,36,35,117,82,22,7,7,15,3,2,0,1,18,ENG
9328b835,38,38,3420,38,56,190,133,8,9,21,9,6,3,3,0,18,ENG
939bc634,38,38,3420,38,58,158,99,9,10,19,10,6,4,2,0,18,ENG
9dab6e3b,3,3,270,3,7,15,8,0,1,2,0,0,0,0,0,18,ENG
a179d516,3,3,270,3,4,11,7,1,1,1,1,0,0,0,0,18,ENG
a6de6361,4,4,305,3,4,12,8,2,1,1,0,0,0,0,0,18,ENG
b1b25949,16,16,1440,16,21,64,43,5,2,9,3,2,1,1,0,18,ENG
c3e39f12,20,20,1800,20,30,97,66,4,7,9,4,1,0,1,0,18,ENG
cb4f24c6,19,19,1710,19,39,91,51,3,6,10,4,5,4,1,0,18,ENG
cc70a1d5,35,35,3150,35,61,201,142,7,11,17,6,5,5,0,0,18,ENG
cde3309f,10,10,900,10,15,47,34,1,5,4,2,3,3,0,0,18,ENG
d0b3ceb9,37,37,3330,37,55,151,98,6,12,19,10,1,1,0,0,18,ENG
d436eb94,19,19,1710,19,24,59,34,10,7,2,7,3,2,1,0,18,ENG
d596e193,24,24,2128,23,40,100,61,7,5,12,5,3,3,0,0,18,ENG
d822a850,4,3,275,3,7,13,6,0,1,2,1,1,1,0,0,18,ENG
f76e6b4e,19,19,1710,19,29,96,68,7,6,6,6,1,1,0,0,18,ENG
03de83d9,4,4,360,4,5,15,10,0,1,3,0,0,0,0,0,18,EL
0810b6df,5,5,450,5,11,31,20,1,2,2,1,0,0,0,0,18,EL
08f5afaa,8,8,720,8,9,29,20,4,2,2,3,2,2,0,0,18,EL
0b221abd,3,3,270,3,8,19,11,0,1,2,0,0,0,0,0,18,EL
0be3255b,13,13,1200,13,13,42,29,7,4,2,5,0,0,0,0,18,EL
0e61c46b,1,1,90,1,1,2,1,1,0,0,0,0,0,0,0,18,EL
110a95ca,6,6,540,6,16,41,26,1,2,3,2,2,2,0,0,18,EL
136e7649,1,1,90,1,0,3,3,0,1,0,1,0,0,0,0,18,EL
1c98558c,3,3,270,3,4,10,6,1,0,2,1,0,0,0,0,18,EL
1d2d5cc8,7,7,630,7,8,17,9,3,2,2,1,2,2,0,0,18,EL
1e064bfb,4,4,360,4,5,20,15,0,3,1,1,0,0,0,0,18,EL
