id,fk_ag,ck_ag,og_ag,ps_xg,ps_xg_delta,cmp_launch,att_launch,att_gk_pass,att_gk_throw,gk_pass_len,att_goal_kick,goal_kick_len,att_cross_ag,stop_cross_ag,def_outside_pen,def_outside_pen_dist,goal_kicks_launched,att_launch_non_goal_kick,att_pass_non_goal_kick,season,comp
0a1cb833,0,6,2,42.0,4.0,234,576,915,185,35319.0,256,12697.6,482,27,181,10.7,167,320,659,18,GER
0d55d942,1,7,4,41.4,-7.6,313,779,1041,123,42472.8,307,19371.7,529,28,312,14.2,268,472,734,18,GER
0d8a37c2,0,0,0,10.2,0.2,31,88,153,15,5676.3,34,1812.2,63,3,74,14.8,25,54,119,18,GER
16b8fabd,0,1,0,1.5,-2.5,3,25,33,0,1257.3,8,451.2,15,1,12,12.8,7,17,25,18,GER
17376543,0,0,0,1.5,-1.5,28,57,52,7,2542.8,23,1522.6,41,2,14,14.5,22,34,29,18,GER
1e43fad8,1,3,1,35.3,-0.7,190,476,714,126,27346.2,236,11186.4,456,53,196,10.9,150,240,478,18,GER
2628fd2b,2,3,0,35.2,-4.8,194,536,995,134,34825.0,250,11525.0,366,29,489,14.4,143,286,745,18,GER
27d2618c,0,7,1,35.8,-7.2,286,761,882,101,38808.0,249,14417.1,483,37,178,11.9,219,512,633,18,GER
2e7ff968,2,11,0,42.0,0.0,264,552,881,150,33301.8,267,11908.2,440,29,212,12.5,155,285,614,18,GER
3cd9e95a,0,7,0,66.5,-3.5,302,746,787,84,34706.7,299,17132.7,592,25,424,13.7,251,447,488,18,GER
420c18a1,0,6,1,39.3,-1.7,178,482,1009,143,33599.7,246,10996.2,524,42,255,11.6,142,236,763,18,GER
47064058,1,9,2,42.6,-3.4,223,590,1181,179,39445.4,261,12501.9,480,37,350,12.5,163,329,920,18,GER
4a15e95b,0,4,1,36.8,-0.2,135,409,506,79,20543.6,199,11104.2,332,20,266,14.8,149,210,307,18,GER
