id,y_card,r_card,two_y_card,fouls,fouled,offside,pens_won,pens_con,own_goal,recov,aerials_won,aerials_lost,aerials_attempted,season,comp
00844823,6,0,0,34,16,0,0,2,1,128,40,30,70,18,GER
00a6485f,5,0,0,34,47,1,0,0,0,80,47,43,90,18,GER
012c38ec,0,0,0,0,1,1,0,0,0,3,0,1,1,18,GER
016ff750,4,0,0,18,14,5,0,0,0,77,20,42,62,18,GER
0174ba21,0,0,0,1,3,0,0,0,0,2,1,1,2,18,GER
01c3aff5,3,0,0,37,9,0,0,0,0,92,26,21,47,18,GER
01e5f06e,0,0,0,0,0,0,0,0,0,0,0,0,0,18,GER
03bd0bf4,5,0,0,34,18,1,0,2,0,180,159,40,199,18,GER
042e8a49,0,0,0,7,20,2,1,0,0,62,15,11,26,18,GER
048a1cbc,0,0,0,1,8,0,0,0,0,20,3,9,12,18,GER
04c11885,4,0,0,33,53,3,0,0,0,91,32,27,59,18,GER
05439de2,1,0,0,9,6,2,0,0,0,85,15,17,32,18,GER
05d548d8,3,0,0,18,6,1,0,0,0,145,72,39,111,18,GER
061e8e23,0,0,0,17,24,11,0,0,0,29,23,23,46,18,GER
070ec0b1,0,0,0,19,18,2,0,0,0,121,78,63,141,18,GER
080440a4,3,0,0,27,22,0,0,0,0,155,59,50,109,18,GER
088ca1bd,1,0,0,11,15,1,0,0,0,63,21,20,41,18,GER
09586899,0,0,0,10,25,9,1,0,0,52,16,11,27,18,GER
096a77c4,0,0,0,1,2,2,0,0,0,9,0,0,0,18,GER
0a1cb833,1,0,0,0,8,0,0,0,0,42,9,1,10,18,GER
0a89e877,1,1,0,16,21,2,0,1,0,88,20,18,38,18,GER
0b4f388a,4,0,0,42,30,11,2,0,0,38,13,30,43,18,GER
0cf778df,0,0,0,0,1,0,0,0,0,5,1,1,2,18,GER
0d55d942,0,0,0,0,1,0,0,0,1,52,8,0,8,18,GER
0d8a37c2,0,0,0,0,0,0,0,0,0,4,0,0,0,18,GER
0dabaf14,3,1,1,14,1,0,0,0,0,20,1,0,1,18,GER
0eb5720b,3,1,1,20,10,0,0,0,0,76,62,45,107,18,GER
0f26fd24,1,0,0,18,15,3,0,0,0,40,9,16,25,18,GER
0fbecd11,9,1,1,45,23,1,0,0,0,86,22,36,58,18,GER
1025db8e,4,0,0,31,8,5,0,0,0,143,58,56,114,18,GER
106bca06,3,0,0,26,15,1,0,0,0,71,8,13,21,18,GER
11dbba47,1,1,0,22,15,11,1,0,0,62,3,22,25,18,GER
11fd2b75,4,0,0,17,8,0,0,0,0,76,17,12,29,18,GER
1238a3f9,4,0,0,60,39,10,4,0,0,34,98,100,198,18,GER
125cb9fe,1,0,0,6,9,1,0,0,0,36,26,19,45,18,GER
126cf855,0,0,0,1,0,0,0,0,0,1,0,0,0,18,GER
13ddc856,1,0,0,11,8,13,0,0,0,32,6,31,37,18,GER
140afefb,2,0,0,9,6,3,0,0,0,72,1,7,8,18,GER
15413fa5,5,0,0,52,44,1,0,1,0,115,68,54,122,18,GER
15b287da,0,0,0,2,2,3,0,0,0,6,2,9,11,18,GER
15ea94de,1,0,0,4,7,4,0,0,0,10,17,20,37,18,GER
16b8fabd,0,0,0,0,0,0,0,0,0,1,0,0,0,18,GER
16daec92,4,0,0,25,36,1,1,0,0,116,16,29,45,18,GER
17370b95,2,0,0,28,19,2,0,1,0,79,49,20,69,18,GER
17376543,0,0,0,0,0,0,0,0,0,1,0,0,0,18,GER
17780d2b,0,0,0,1,0,0,0,0,0,6,5,0,5,18,GER
1900032e,5,0,0,27,22,4,0,1,1,113,97,55,152,18,GER
1ae836b1,0,0,0,3,2,0,0,0,0,1,2,9,11,18,GER
1bcca8b8,2,0,0,16,12,0,0,0,0,72,11,12,23,18,GER
1bf33a9a,1,0,0,16,34,9,1,0,0,97,16,58,74,18,GER
1c08a3c8,2,0,0,20,27,0,0,0,0,55,17,17,34,18,GER
1cd87320,5,0,0,30,35,1,1,0,0,113,20,26,46,18,GER
1d8e9add,9,0,0,20,33,0,0,1,1,207,31,25,56,18,GER
1e43fad8,1,0,0,0,10,0,0,0,0,31,9,0,9,18,GER
20030c06,5,1,0,27,31,4,0,0,0,91,110,64,174,18,GER
2042d931,0,0,0,22,34,11,0,0,0,90,33,63,96,18,GER
21166ff4,5,2,1,26,18,2,0,0,0,98,52,37,89,18,GER
22051fbe,3,2,1,20,44,0,0,1,0,83,25,20,45,18,GER
226008f1,0,0,0,0,0,0,0,0,0,5,0,0,0,18,GER
229cd98a,3,0,0,21,12,7,0,0,0,14,13,29,42,18,GER
258a6f4d,2,0,0,31,13,4,0,0,0,27,83,72,155,18,GER
25ab9c9c,1,0,0,6,8,0,0,1,0,49,40,23,63,18,GER
2628fd2b,1,0,0,0,9,0,0,0,0,56,10,1,11,18,GER
26db8853,3,0,0,22,6,0,0,0,0,113,29,23,52,18,GER
27d2618c,2,0,0,1,6,0,0,0,0,62,9,0,9,18,GER
2903a856,0,0,0,8,18,3,1,1,0,48,5,15,20,18,GER
2930c9d8,0,0,0,0,0,1,0,0,0,3,0,2,2,18,GER
2973d8ff,2,0,0,17,3,12,0,0,0,14,16,20,36,18,GER
2979c05a,1,0,0,14,9,1,0,0,0,35,11,11,22,18,GER
29f7cfd9,3,0,0,15,9,6,0,0,0,35,20,16,36,18,GER
2a29eb9b,3,0,0,9,13,0,0,0,0,49,23,13,36,18,GER
2b350e6b,0,0,0,4,8,0,0,0,0,24,9,7,16,18,GER
2b83fa49,0,0,0,5,13,0,0,0,0,54,2,10,12,18,GER
2bcc6d52,8,0,0,43,52,30,0,0,0,81,32,81,113,18,GER
2c38b327,0,0,0,5,5,0,0,0,0,6,4,13,17,18,GER
2db2fd7b,4,0,0,14,7,0,0,0,0,106,33,13,46,18,GER
