id,live_pass,dead_pass,fk_pass,tb_pass,sw_pass,cross_pass,throw_in,ck,ck_in,ck_out,ck_straight,offside_pass,blocked_pass,season,comp
00459419,722,34,11,9,2,61,11,3,1,2,0,1,39,18,ENG
008a6e6d,1180,35,19,1,5,1,16,0,0,0,0,3,4,18,ENG
00963611,101,2,2,0,2,0,0,0,0,0,0,0,2,18,ENG
01226327,1549,395,34,1,3,136,328,33,22,5,2,10,70,18,ENG
02b29014,2212,60,35,2,16,26,2,0,0,0,0,6,44,18,ENG
032f894e,383,36,16,1,6,32,8,11,8,3,0,1,5,18,ENG
0356cf4f,10,0,0,0,0,1,0,0,0,0,0,1,1,18,ENG
0420d84f,384,129,1,0,1,28,128,0,0,0,0,3,16,18,ENG
0442183b,111,30,0,0,0,7,30,0,0,0,0,0,5,18,ENG
07802f7f,78,1,1,0,1,3,0,0,0,0,0,0,5,18,ENG
08aa17d0,1658,299,23,3,10,79,276,0,0,0,0,5,39,18,ENG
099e666f,620,225,13,0,5,46,212,0,0,0,0,4,32,18,ENG
0c61c77c,7,1,0,0,0,2,0,1,1,0,0,0,0,18,ENG
0cc5f4a5,5,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
0d267745,3035,45,41,3,39,2,4,0,0,0,0,2,11,18,ENG
0db5d2c8,1507,63,54,2,4,0,9,0,0,0,0,6,18,18,ENG
0e6bc38c,670,11,3,1,5,35,5,0,0,0,0,7,29,18,ENG
0ef89a37,674,76,19,17,5,58,2,53,21,22,0,8,18,18,ENG
10072610,56,15,5,0,0,0,0,0,0,0,0,0,0,18,ENG
101da2b5,2926,65,57,18,15,9,7,1,0,0,0,8,29,18,ENG
10b9fa99,19,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
111c3236,1607,192,20,0,12,13,172,0,0,0,0,2,15,18,ENG
1148323a,36,19,5,0,0,0,0,0,0,0,0,1,0,18,ENG
119b9a8e,801,25,12,1,10,2,13,0,0,0,0,0,3,18,ENG
11b9265b,813,150,18,1,6,51,129,3,2,1,0,1,17,18,ENG
129af0db,555,40,1,3,6,19,0,0,0,0,0,5,21,18,ENG
12aa7661,1012,500,64,0,6,210,344,92,44,41,0,9,55,18,ENG
15ea812b,1078,17,17,0,25,4,0,0,0,0,0,7,3,18,ENG
15f3ec41,18,0,0,0,2,2,0,0,0,0,0,0,0,18,ENG
15fd5593,98,5,0,0,1,3,1,0,0,0,0,0,7,18,ENG
16380240,1794,129,31,18,8,98,16,76,45,16,3,10,43,18,ENG
1695c659,8,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
16ceb862,362,17,0,5,1,3,1,0,0,0,0,1,6,18,ENG
1840e36d,897,300,52,0,0,0,0,0,0,0,0,5,1,18,ENG
184e4970,1042,59,23,6,19,49,4,26,18,8,0,4,20,18,ENG
189cee7b,363,30,3,4,5,18,2,1,0,0,0,2,12,18,ENG
18b896d6,1695,35,24,3,35,10,11,0,0,0,0,5,7,18,ENG
18e96f64,112,3,3,0,1,0,0,0,0,0,0,0,2,18,ENG
1931bde9,709,14,2,3,0,84,6,5,5,0,0,2,46,18,ENG
199ff86e,11,0,0,0,0,4,0,0,0,0,0,0,2,18,ENG
19b8b0b9,442,5,1,0,1,22,3,1,0,0,0,2,19,18,ENG
19ba6c6d,512,22,0,2,2,9,2,0,0,0,0,2,9,18,ENG
1a160ea3,508,68,7,0,5,9,61,0,0,0,0,5,10,18,ENG
1a2935f6,1769,43,38,0,9,4,5,0,0,0,0,2,5,18,ENG
1a4ef233,249,61,1,0,2,0,60,0,0,0,0,0,1,18,ENG
1ae30132,426,157,10,0,2,19,147,0,0,0,0,4,9,18,ENG
1b780599,176,40,1,0,1,15,39,0,0,0,0,1,4,18,ENG
1b7ec703,153,9,1,1,1,4,0,0,0,0,0,1,3,18,ENG
1bebde9d,17,9,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1bf811d4,93,30,1,0,0,10,29,0,0,0,0,0,5,18,ENG
1c7012b8,568,17,9,1,1,5,7,0,0,0,0,3,9,18,ENG
1cb49278,1314,38,35,1,1,0,3,0,0,0,0,5,6,18,ENG
1d387eee,171,5,0,0,0,15,1,3,2,0,0,1,9,18,ENG
1d6ac165,262,4,0,0,0,1,0,0,0,0,0,3,3,18,ENG
1d8c99b0,800,100,55,1,18,62,2,42,31,9,0,3,11,18,ENG
1e0b6a73,1617,243,65,1,28,78,176,2,0,1,0,4,36,18,ENG
1e26e376,15,10,3,0,0,0,0,0,0,0,0,0,0,18,ENG
1ecb65be,347,30,1,0,2,48,3,3,0,1,0,1,16,18,ENG
1ef37668,1054,248,10,0,4,64,238,0,0,0,0,8,39,18,ENG
1f9a3a04,314,73,7,0,1,10,66,0,0,0,0,3,12,18,ENG
20b104bc,920,198,21,1,7,35,171,6,2,0,0,1,27,18,ENG
210d9ecb,37,1,1,0,0,0,0,0,0,0,0,0,1,18,ENG
21512407,1335,292,25,5,8,122,239,28,11,14,1,11,28,18,ENG
21a66e33,90,0,0,0,1,2,0,0,0,0,0,1,1,18,ENG
21a66f6a,658,28,4,13,26,20,9,1,0,0,0,10,30,18,ENG
22551915,813,226,12,1,2,45,214,0,0,0,0,1,16,18,ENG
2475dcc6,1170,78,10,14,5,121,16,31,15,13,0,7,63,18,ENG
24fae784,147,33,1,0,0,13,32,0,0,0,0,1,10,18,ENG
25b166d0,87,12,0,1,1,4,0,0,0,0,0,0,2,18,ENG
25f50295,846,36,20,0,7,8,16,0,0,0,0,0,13,18,ENG
2649ff32,384,3,3,3,6,2,0,0,0,0,0,2,5,18,ENG
26679cdf,224,9,0,0,2,5,1,0,0,0,0,2,5,18,ENG
2691c772,515,13,0,3,0,16,2,0,0,0,0,3,17,18,ENG
26f6dca8,1176,125,48,6,4,83,5,51,32,13,0,8,18,18,ENG
27d7453c,227,8,0,0,0,1,0,0,0,0,0,2,5,18,ENG
282f75f3,1466,52,37,3,61,7,15,0,0,0,0,11,13,18,ENG
285a3d44,648,18,17,0,3,0,1,0,0,0,0,2,5,18,ENG
29733c72,1228,113,37,4,11,111,15,54,38,9,1,4,24,18,ENG
2973d8ff,87,9,0,0,0,0,0,0,0,0,0,1,5,18,ENG
2acd49b9,879,20,6,3,6,19,11,2,0,0,0,1,24,18,ENG
2afc7272,1221,41,21,5,15,29,5,15,9,1,1,1,17,18,ENG
2b114be3,1125,80,4,2,2,93,21,55,2,39,0,3,30,18,ENG
2b471f99,977,7,4,6,9,10,3,0,0,0,0,3,5,18,ENG
2b622f01,114,0,0,0,0,1,0,0,0,0,0,0,4,18,ENG
2b91cf8e,680,31,21,1,3,2,10,0,0,0,0,4,8,18,ENG
2baec6ce,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
2c0f8e9e,1460,92,30,29,17,97,1,54,33,9,0,12,57,18,ENG
2ce2508a,1613,83,54,3,20,39,5,24,12,1,4,5,32,18,ENG
2e4f5f03,1497,182,12,3,3,88,170,0,0,0,0,2,42,18,ENG
