id,name,name_in_home_country,value,number,contract_expiry,birthplace,date_of_birth,height,position,main_position,other_position,citizenship,international_team,foot,current_club,player_agent,outfitter,url,age,last_name,simple_name
0000acda,Marco Benassi,,0.9,,,Modena,09/8/1994,1.84,central midfield,central midfield,winger,Italy,Italy,right,Without Club,Romano Eleven SAS,Unknown,https://www.transfermarkt.com/marco-benassi/profil/spieler/201040,29,Benassi,Marco Benassi
000b3da6,Manuel Iturra,Manuel Rolando Iturra Urrutia,0.0,,,Temuco,06/23/1984,1.74,defensive midfield,defensive midfield,central midfield,Chile,Chile,right,Retired,AIM fútbol,Unknown,https://www.transfermarkt.com/manuel-iturra/profil/spieler/40428,39,Iturra,Manuel Iturra
00242715,Moussa Niakhaté,,16.0,19.0,"Jun 30, 2025",Roubaix,03/8/1996,1.9,centre-back,centre-back,full-back,Senegal,Senegal,left,Nottingham Forest,CAA Stellar,Unknown,https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200,28,Niakhaté,Moussa Niakhate
00242b75,Leandro Barreiro,Leandro Barreiro Martins,14.0,8.0,"Jun 30, 2024",Erpeldingen,01/3/2000,1.74,central midfield,central midfield,attacking midfield,Luxembourg,Luxembourg,right,FSV Mainz 05,CAA Stellar,Unknown,https://www.transfermarkt.com/leandro-barreiro/profil/spieler/357233,24,Barreiro,Leandro Barreiro
0033fb1b,Niclas Eliasson,Niclas Eliasson Santana,3.0,19.0,"Jun 30, 2027",Varberg,12/7/1995,1.78,winger,winger,winger,Sweden,Sweden U21,left,AEK Athens,Nordic Sky,Unknown,https://www.transfermarkt.com/niclas-eliasson/profil/spieler/251813,28,Eliasson,Niclas Eliasson
003a5c72,Mikel San José,Mikel San José Domínguez,0.0,,,Pamplona,05/30/1989,1.87,defensive midfield,defensive midfield,centre-back,Spain,Spain,right,Retired,RMD Sport Manager,New Balance,https://www.transfermarkt.com/mikel-san-jose/profil/spieler/52469,34,José,Mikel San Jose
003cf4d1,Jayden Danns,,1.0,76.0,-,Liverpool,01/16/2006,1.83,forward,forward,winger,England,England U18,right,Liverpool FC U18,Triple S Sports,Unknown,https://www.transfermarkt.com/jayden-danns/profil/spieler/939290,18,Danns,Jayden Danns
00459419,Marko Arnautovic,Marko Arnautović,5.0,8.0,"Jun 30, 2025",Wien,04/19/1989,1.9,forward,forward,winger,Austria,,both,Inter Milan,Arna Sports,Puma,https://www.transfermarkt.com/marko-arnautovic/profil/spieler/41384,35,Arnautovic,Marko Arnautovic
0049d544,Yassine El Ghanassy,,0.0,,,La Louvière,07/12/1990,1.73,winger,winger,winger,Belgium,Belgium,right,Without Club,Innova Sports,Unknown,https://www.transfermarkt.com/yassine-el-ghanassy/profil/spieler/90368,33,Ghanassy,Yassine El Ghanassy
004d185e,Tete Morente,,2.0,11.0,"Jun 30, 2024",La Línea de la ...,12/4/1996,1.84,winger,winger,winger,Spain,,right,Elche CF,Eleven Talent Group,Unknown,https://www.transfermarkt.com/tete-morente/profil/spieler/339816,27,Morente,Tete Morente
00528660,Filippo Costa,,0.35,32.0,"Jun 30, 2025",Noventa Vicentina,05/21/1995,1.75,full-back,full-back,winger,Italy,Italy U20,left,LR Vicenza,G.E.V.,Nike,https://www.transfermarkt.com/filippo-costa/profil/spieler/197743,28,Costa,Filippo Costa
005c0807,Zinedine Ferhat,Date of birth/Age:,1.0,20.0,"Jun 30, 2025",Bordj Menaïel,03/1/1993,1.8,winger,winger,winger,Algeria,Algeria,right,Angers SCO,GFOOT,Unknown,https://www.transfermarkt.com/zinedine-ferhat/profil/spieler/232895,31,Ferhat,Zinedine Ferhat
005ca692,Maycon,,5.0,7.0,"Dec 31, 2024",São Paulo,07/15/1997,1.75,central midfield,central midfield,defensive midfield,Brazil,Brazil U23,left,Sport Club Corinthians Paulista,MV SPORTS & MKT,Nike,https://www.transfermarkt.com/maycon/profil/spieler/421935,26,Maycon,Maycon
00638016,Léo Pétrot,,0.8,19.0,"Jun 30, 2025",Firminy,04/15/1997,1.88,centre-back,centre-back,full-back,France,,left,AS Saint-Étienne,Unknown,Unknown,https://www.transfermarkt.com/leo-petrot/profil/spieler/412829,27,Pétrot,Leo Petrot
00672021,Alan Patrick,,4.0,10.0,"Dec 31, 2026",São Paulo,05/13/1991,1.77,attacking midfield,attacking midfield,central midfield,Brazil,Brazil U20,right,Sport Club Internacional,LINK SPORTS,adidas,https://www.transfermarkt.com/alan-patrick/profil/spieler/104505,32,Patrick,Alan Patrick
00672803,Lasse Günther,,1.0,29.0,"Jun 30, 2024",München,03/21/2003,1.81,full-back,full-back,winger,Germany,Germany U20,left,SV Wehen Wiesbaden,11WINS,adidas,https://www.transfermarkt.com/lasse-gunther/profil/spieler/522245,21,Günther,Lasse Gunther
007414dd,Samuel Edozie,Samuel Ikechukwu Edozie,8.0,23.0,"Jun 30, 2027",London,01/28/2003,1.81,winger,winger,winger,England,,right,Southampton FC,Unique Sports Group,Unknown,https://www.transfermarkt.com/samuel-edozie/profil/spieler/680806,21,Edozie,Samuel Edozie
0076ab7f,Nemanja Gudelj,Date of birth/Age:,4.0,6.0,"Jun 30, 2026",Belgrade,11/16/1991,1.87,centre-back,centre-back,central midfield,Serbia,,right,Sevilla FC,Promoesport,Nike,https://www.transfermarkt.com/nemanja-gudelj/profil/spieler/74294,32,Gudelj,Nemanja Gudelj
007b39a5,Onel Hernández,Onel Lázaro Hernández Mayea,0.8,25.0,"Jun 30, 2025",Morón,02/1/1993,1.72,winger,winger,winger,Cuba,Cuba,right,Norwich City,LIEBERAM.GROUP,Nike,https://www.transfermarkt.com/onel-hernandez/profil/spieler/109751,31,O. Hernández,Onel Hernandez
007faf7a,Lucas Da Cunha,,2.0,33.0,"Jun 30, 2026",Roanne,06/9/2001,1.74,winger,winger,winger,France,France U19,left,Como 1907,Frederic Guerra,adidas,https://www.transfermarkt.com/lucas-da-cunha/profil/spieler/495667,22,Da Cunha,Lucas Da Cunha
00823e9a,César Falletti,César Alejandro Falletti dos Santos,0.9,7.0,"Jun 30, 2026",Artigas,12/2/1992,1.74,attacking midfield,attacking midfield,winger,Uruguay,,right,US Cremonese,Paco Casal,Unknown,https://www.transfermarkt.com/cesar-falletti/profil/spieler/218306,31,Falletti,Cesar Falletti
00844823,Niklas Moisander,Niklas Kristian Moisander,0.3,4.0,"Dec 31, 2024",Turku,09/29/1985,1.83,centre-back,centre-back,undefined,Finland,Finland,left,Malmö FF,Essel Sports,Unknown,https://www.transfermarkt.com/niklas-moisander/profil/spieler/5017,38,Moisander,Niklas Moisander
00891164,Cédric Hountondji,,1.0,22.0,"Jun 30, 2026",Toulouse,01/19/1994,1.94,centre-back,centre-back,undefined,Benin,Benin,right,Angers SCO,One Team Management,Unknown,https://www.transfermarkt.com/cedric-hountondji/profil/spieler/198709,30,Hountondji,Cedric Hountondji
008a6e6d,Ragnar Klavan,,0.05,15.0,"Dec 31, 2024",Viljandi,10/30/1985,1.87,centre-back,centre-back,full-back,Estonia,Estonia,left,Kalev Tallinn,SFI,Unknown,https://www.transfermarkt.com/ragnar-klavan/profil/spieler/26669,38,Klavan,Ragnar Klavan
00963611,Konstantinos Mavropanos,Date of birth/Age:,18.0,15.0,"Jun 30, 2028",Athens,12/11/1997,1.94,centre-back,centre-back,undefined,Greece,Greece,right,West Ham United,Konstantinos Farras,Unknown,https://www.transfermarkt.com/konstantinos-mavropanos/profil/spieler/415912,26,Mavropanos,Konstantinos Mavropanos
009a4f60,Julian Ryerson,,15.0,26.0,"Jun 30, 2026",Lyngdal,11/17/1997,1.83,full-back,full-back,winger,Norway,Norway,right,Borussia Dortmund,CAA Base Ltd,Unknown,https://www.transfermarkt.com/julian-ryerson/profil/spieler/370789,26,Ryerson,Julian Ryerson
00a17eba,Samuele Perisan,,0.6,1.0,"Jun 30, 2025",San Vito al ...,08/21/1997,1.92,goalkeeper,goalkeeper,undefined,Italy,Italy U20,left,FC Empoli,Patrick Bastianelli,Unknown,https://www.transfermarkt.com/samuele-perisan/profil/spieler/301240,26,Perisan,Samuele Perisan
00a6485f,Andreas Beck,,0.0,,,Kemerovo,03/13/1987,1.8,full-back,full-back,winger,Germany,Germany,right,Retired,AKA Global GmbH,adidas,https://www.transfermarkt.com/andreas-beck/profil/spieler/31182,37,Beck,Andreas Beck
00a8d210,Przemyslaw Frankowski,Przemysław Frankowski,9.0,29.0,"Jun 30, 2028",Gdańsk,04/12/1995,1.75,winger,winger,winger,Poland,Poland,right,RC Lens,11-Football Players,Unknown,https://www.transfermarkt.com/przemyslaw-frankowski/profil/spieler/239743,29,Frankowski,Przemyslaw Frankowski
00b0bb87,Fabrizio Cacciatore,,0.0,,,Torino,10/8/1986,1.82,full-back,full-back,full-back,Italy,Italy U18,right,Retired,Unknown,Unknown,https://www.transfermarkt.com/fabrizio-cacciatore/profil/spieler/85605,37,Cacciatore,Fabrizio Cacciatore
00b28772,Nemanja Maksimovic,Date of birth/Age:,6.0,20.0,"Jun 30, 2024",Banja Koviljača,01/26/1995,1.89,central midfield,central midfield,defensive midfield,Serbia,,right,Getafe CF,Promoesport,Puma,https://www.transfermarkt.com/nemanja-maksimovic/profil/spieler/273152,29,Maksimovic,Nemanja Maksimovic
00b77ecf,Nathan Fraser,Nathan John Mark Fraser,1.0,,-,Wolverhampton,02/22/2005,1.88,forward,forward,undefined,Ireland,Ireland U19,right,Wolverhampton Wanderers,Unknown,Unknown,https://www.transfermarkt.com/nathan-fraser/profil/spieler/863741,19,Fraser,Nathan Fraser
00c3d4dc,Sebastian Soto,Sebastian Guerra Soto,0.25,11.0,"Jun 30, 2025","Carlsbad, California",07/28/2000,1.83,forward,forward,forward,United States,USA,right,SK Austria Klagenfurt,CCC,Unknown,https://www.transfermarkt.com/sebastian-soto/profil/spieler/605498,23,Soto,Sebastian Soto
00c9a283,Hugo Larsson,Hugo Emanuel Larsson,28.0,16.0,"Jun 30, 2028",Svarte,06/27/2004,1.87,central midfield,central midfield,defensive midfield,Sweden,Sweden,right,Eintracht Frankfurt,HCM Sports,Puma,https://www.transfermarkt.com/hugo-larsson/profil/spieler/931838,19,Larsson,Hugo Larsson
00ddb7f7,Marcel Ritzmaier,,0.25,10.0,"Jun 30, 2025",Knittelfeld,04/22/1993,1.8,central midfield,central midfield,winger,Austria,Austria U21,left,SKN St. Pölten,Unknown,Puma,https://www.transfermarkt.com/marcel-ritzmaier/profil/spieler/84162,30,Ritzmaier,Marcel Ritzmaier
00e36323,Florian Pick,,0.9,17.0,"Jun 30, 2024",Wittlich,09/8/1995,1.76,winger,winger,winger,Germany,,right,FC Heidenheim 1846,CN Sports,Unknown,https://www.transfermarkt.com/florian-pick/profil/spieler/191359,28,Pick,Florian Pick
00eba9c9,Selim Amallah,,2.0,19.0,"Jun 30, 2024",Hautrage,11/15/1996,1.85,attacking midfield,attacking midfield,winger,Morocco,,right,Valencia CF,CAA Stellar,Nike,https://www.transfermarkt.com/selim-amallah/profil/spieler/377219,27,Amallah,Selim Amallah
00f0482f,Shola Shoretire,Shola Maxwell Shoretire,4.0,47.0,-,Newcastle,02/2/2004,1.71,attacking midfield,attacking midfield,winger,England,England U19,right,Manchester United,Gestifute,adidas,https://www.transfermarkt.com/shola-shoretire/profil/spieler/640026,20,Shoretire,Shola Shoretire
00f518d8,Faride Alidou,,2.0,40.0,"Jun 30, 2024",Hamburg,07/18/2001,1.86,winger,winger,winger,Germany,,right,FC Köln,FTC,Unknown,https://www.transfermarkt.com/faride-alidou/profil/spieler/456492,22,Alidou,Faride Alidou
