id,matches,minutes,nineties,starts,completed,sub,sub_unused,onpitch_goals,onpitch_goals_ag,onpitch_goals_delta,onpitch_xg,onpitch_xga,onpitch_xg_delta,season,comp
00844823,25,2250,25.0,25,25,0,1,30,29,1,30.9,35.1,-4.2,18,GER
00a6485f,23,1927,21.4,22,16,1,4,20,23,-3,25.0,21.4,3.6,18,GER
012c38ec,1,55,0.6,1,0,0,1,1,0,1,0.5,1.1,-0.6,18,GER
016ff750,26,1864,20.7,19,16,7,0,29,26,3,27.8,29.0,-1.2,18,GER
0174ba21,3,69,0.8,1,0,2,2,1,3,-2,1.2,1.6,-0.4,18,GER
01c3aff5,22,1263,14.0,13,8,9,4,19,18,1,18.2,16.4,1.7,18,GER
01e5f06e,2,9,0.1,0,0,2,1,0,0,0,0.1,0.0,0.0,18,GER
03bd0bf4,34,3060,34.0,34,34,0,0,53,37,16,46.7,40.2,6.6,18,GER
042e8a49,21,1153,12.8,10,6,11,0,34,8,26,28.1,9.6,18.4,18,GER
048a1cbc,9,547,6.1,6,3,3,2,11,10,1,10.7,7.9,2.8,18,GER
04c11885,28,2055,22.8,23,16,5,6,31,36,-5,30.3,42.3,-12.0,18,GER
05439de2,23,1551,17.2,17,14,6,0,51,10,41,41.5,13.8,27.7,18,GER
05d548d8,26,2213,24.6,25,23,1,5,65,20,45,55.3,24.5,30.8,18,GER
061e8e23,20,1203,13.4,15,6,5,2,31,12,19,25.1,14.8,10.3,18,GER
070ec0b1,29,2345,26.1,29,24,0,1,43,35,8,41.6,28.1,13.5,18,GER
080440a4,30,2655,29.5,29,29,1,0,38,39,-1,38.0,36.7,1.3,18,GER
088ca1bd,25,1473,16.4,15,10,10,6,16,23,-7,16.6,20.6,-3.9,18,GER
09586899,21,1507,16.7,19,7,2,3,45,12,33,37.8,11.8,26.0,18,GER
096a77c4,7,201,2.2,1,0,6,3,1,3,-2,3.7,3.2,0.5,18,GER
0a1cb833,34,3060,34.0,34,34,0,0,37,40,-3,38.9,45.1,-6.2,18,GER
0a89e877,23,1268,14.1,11,9,12,9,27,22,5,27.1,18.8,8.3,18,GER
0b4f388a,21,919,10.2,9,2,12,7,20,13,7,15.3,13.6,1.7,18,GER
0cf778df,2,95,1.1,1,0,1,0,1,0,1,1.8,0.4,1.4,18,GER
0d55d942,33,2906,32.3,33,32,0,0,28,53,-25,38.3,44.6,-6.3,18,GER
0d8a37c2,5,435,4.8,4,4,1,29,3,10,-7,5.7,8.0,-2.4,18,GER
0dabaf14,6,305,3.4,3,1,3,11,4,3,1,4.2,4.0,0.2,18,GER
0eb5720b,17,1445,16.1,17,14,0,6,13,26,-13,14.2,27.4,-13.1,18,GER
0f26fd24,18,949,10.5,11,3,7,9,10,12,-2,13.2,16.1,-2.9,18,GER
0fbecd11,28,1664,18.5,18,8,10,4,25,27,-2,29.8,21.8,8.1,18,GER
1025db8e,27,2385,26.5,27,26,0,0,34,36,-2,34.7,31.2,3.5,18,GER
106bca06,15,808,9.0,9,5,6,9,11,9,2,10.5,9.9,0.6,18,GER
11dbba47,24,1299,14.4,14,3,10,7,22,21,1,23.1,18.1,5.0,18,GER
11fd2b75,9,771,8.6,8,8,1,0,14,15,-1,12.2,12.5,-0.4,18,GER
1238a3f9,27,1886,21.0,19,12,8,0,28,32,-4,29.0,29.0,0.0,18,GER
125cb9fe,11,786,8.7,9,7,2,5,2,14,-12,6.9,13.3,-6.4,18,GER
126cf855,1,7,0.1,0,0,1,3,0,0,0,0.0,0.0,0.0,18,GER
13ddc856,15,721,8.0,7,3,8,6,6,10,-4,9.7,9.7,-0.1,18,GER
140afefb,16,1169,13.0,13,11,3,0,15,34,-19,13.8,26.5,-12.7,18,GER
15413fa5,23,1670,18.6,19,14,4,5,21,31,-10,24.2,39.5,-15.4,18,GER
15b287da,3,144,1.6,2,0,1,4,0,2,-2,1.3,1.4,0.0,18,GER
15ea94de,13,467,5.2,4,1,9,10,10,10,0,8.1,11.1,-2.9,18,GER
16b8fabd,2,91,1.0,1,1,1,32,4,4,0,2.4,1.1,1.3,18,GER
16daec92,29,1815,20.2,22,9,7,4,22,21,1,23.1,25.1,-2.0,18,GER
17370b95,18,1350,15.0,15,13,3,14,27,26,1,24.2,20.1,4.1,18,GER
17376543,2,154,1.7,1,1,1,32,4,3,1,1.3,1.5,-0.2,18,GER
17780d2b,4,115,1.3,1,0,3,1,3,2,1,2.0,2.2,-0.2,18,GER
1900032e,32,2880,32.0,32,32,0,0,41,48,-7,46.5,48.3,-1.8,18,GER
1ae836b1,4,128,1.4,1,1,3,8,1,3,-2,0.5,1.8,-1.3,18,GER
1bcca8b8,16,1092,12.1,12,9,4,1,13,14,-1,16.0,12.1,3.9,18,GER
1bf33a9a,32,2302,25.6,27,14,5,0,49,38,11,48.9,31.5,17.3,18,GER
1c08a3c8,12,850,9.4,11,8,1,3,8,11,-3,7.5,10.0,-2.5,18,GER
1cd87320,27,2379,26.4,27,25,0,7,35,38,-3,35.5,42.0,-6.5,18,GER
1d8e9add,31,2790,31.0,31,31,0,0,59,47,12,47.9,43.3,4.7,18,GER
1e43fad8,34,3015,33.5,34,33,0,0,53,37,16,46.1,39.8,6.4,18,GER
20030c06,26,2126,23.6,25,22,1,4,34,34,0,36.2,31.2,5.0,18,GER
2042d931,31,2207,24.5,27,8,4,3,32,37,-5,27.5,32.5,-5.0,18,GER
21166ff4,26,2153,23.9,25,22,1,3,18,36,-18,23.7,30.6,-6.9,18,GER
22051fbe,29,2284,25.4,26,18,3,2,24,38,-14,22.9,34.8,-11.8,18,GER
226008f1,1,90,1.0,1,1,0,15,1,1,0,0.9,1.0,0.0,18,GER
229cd98a,26,586,6.5,3,0,23,2,10,10,0,8.8,11.0,-2.2,18,GER
258a6f4d,22,1138,12.6,12,5,10,2,14,16,-2,19.4,16.3,3.1,18,GER
25ab9c9c,17,1530,17.0,17,17,0,0,15,25,-10,17.6,21.2,-3.7,18,GER
2628fd2b,33,2970,33.0,33,33,0,0,58,40,18,57.0,35.3,21.7,18,GER
26db8853,18,1318,14.6,16,10,2,4,9,26,-17,14.4,24.6,-10.2,18,GER
27d2618c,31,2790,31.0,31,31,0,0,41,44,-3,36.2,39.2,-2.9,18,GER
2903a856,23,1033,11.5,12,4,11,1,17,22,-5,20.3,18.5,1.8,18,GER
2930c9d8,1,45,0.5,1,0,0,5,1,1,0,0.7,0.8,0.0,18,GER
2973d8ff,10,839,9.3,9,9,1,0,14,14,0,15.2,14.6,0.6,18,GER
2979c05a,17,901,10.0,10,6,7,5,15,19,-4,11.8,17.0,-5.2,18,GER
29f7cfd9,17,963,10.7,12,4,5,5,9,26,-17,12.6,22.1,-9.5,18,GER
2a29eb9b,15,1151,12.8,13,11,2,18,13,20,-7,14.3,18.8,-4.5,18,GER
2b350e6b,9,520,5.8,6,2,3,2,8,10,-2,6.1,10.5,-4.4,18,GER
2b83fa49,11,825,9.2,10,7,1,7,9,23,-14,13.4,22.7,-9.3,18,GER
2bcc6d52,32,2324,25.8,24,14,8,0,41,33,8,35.3,33.5,1.8,18,GER
2c38b327,7,260,2.9,3,0,4,8,4,5,-1,1.2,4.7,-3.6,18,GER
2db2fd7b,19,1640,18.2,19,15,0,7,58,12,46,43.3,13.6,29.7,18,GER
2e64bb49,1,29,0.3,0,0,1,1,1,0,1,0.7,0.4,0.3,18,GER
2e7ff968,32,2880,32.0,32,32,0,1,41,42,-1,43.8,38.4,5.4,18,GER
302527b2,11,865,9.6,11,8,0,7,6,21,-15,10.2,16.3,-6.0,18,GER
30261ba1,1,7,0.1,0,0,1,1,0,0,0,0.0,0.0,0.0,18,GER
30c220c3,24,1979,22.0,23,19,1,3,26,28,-2,24.5,26.0,-1.5,18,GER
31114001,17,1002,11.1,11,3,6,9,12,14,-2,13.3,17.1,-3.8,18,GER
316de854,6,245,2.7,1,0,5,5,3,6,-3,3.9,3.6,0.2,18,GER
3189f61a,16,1011,11.2,12,8,4,6,14,7,7,13.2,11.2,1.9,18,GER
32e96d52,1,39,0.4,0,0,1,0,0,3,-3,0.1,1.0,-0.9,18,GER
3376a776,26,2302,25.6,26,24,0,0,34,38,-4,30.7,30.1,0.7,18,GER
33a81b3d,11,396,4.4,3,0,8,3,3,10,-7,5.3,12.3,-7.0,18,GER
33b554b7,29,2352,26.1,27,22,2,0,25,35,-10,26.3,35.0,-8.7,18,GER
33ec696b,1,32,0.4,0,0,1,1,1,3,-2,0.9,1.3,-0.4,18,GER
346d51d9,25,1944,21.6,20,18,5,6,40,30,10,43.7,29.2,14.6,18,GER
34b54da7,13,727,8.1,8,4,5,12,12,13,-1,13.2,12.1,1.1,18,GER
34c313d5,10,297,3.3,3,0,7,6,2,3,-1,4.2,5.0,-0.8,18,GER
362aa29d,1,4,0.0,0,0,1,0,1,0,1,0.5,0.2,0.3,18,GER
36a3ff67,11,928,10.3,11,4,0,0,16,11,5,15.8,10.9,4.9,18,GER
379c0717,1,2,0.0,0,0,1,2,0,0,0,0.0,0.0,0.0,18,GER
37c213cf,3,56,0.6,0,0,3,0,1,1,0,1.3,1.3,0.0,18,GER
37f606f0,21,1588,17.6,20,12,1,1,30,23,7,22.8,21.0,1.9,18,GER
381e52af,6,191,2.1,1,1,5,7,5,5,0,5.1,2.1,3.0,18,GER
384d58d9,30,2296,25.5,29,16,1,0,34,40,-6,36.7,38.3,-1.6,18,GER
3963c25b,3,156,1.7,1,1,2,2,2,5,-3,2.1,5.5,-3.4,18,GER
3a233281,30,2215,24.6,25,15,5,3,42,27,15,43.7,28.3,15.4,18,GER
3c05e082,28,2046,22.7,23,14,5,1,23,28,-5,28.1,27.9,0.2,18,GER
3c6089ab,29,2005,22.3,22,12,7,1,66,19,47,51.3,20.8,30.5,18,GER
3cd9e95a,34,3060,34.0,34,34,0,0,35,70,-35,43.2,67.4,-24.1,18,GER
3dffff26,28,2336,26.0,28,21,0,4,33,38,-5,34.2,42.9,-8.6,18,GER
3e99c613,2,90,1.0,1,0,1,5,0,2,-2,0.8,1.2,-0.4,18,GER
3eb0f2df,21,1635,18.2,18,13,3,3,23,26,-3,18.6,22.9,-4.3,18,GER
3f30b506,11,914,10.2,10,9,1,14,7,17,-10,12.9,19.5,-6.6,18,GER
3f65898c,32,2828,31.4,31,30,1,0,34,35,-1,35.0,40.7,-5.8,18,GER
3f7cd8f1,27,1859,20.7,23,8,4,5,27,22,5,23.8,24.8,-1.0,18,GER
3faa1780,21,1160,12.9,15,4,6,7,25,19,6,17.6,18.7,-1.0,18,GER
410ab123,16,1196,13.3,13,10,3,5,12,25,-13,17.3,25.9,-8.6,18,GER
4114f306,23,1674,18.6,20,14,3,3,24,44,-20,22.3,36.3,-14.1,18,GER
420c18a1,30,2625,29.2,30,29,0,0,44,42,2,45.5,43.9,1.5,18,GER
433dc9a2,11,888,9.9,11,7,0,5,31,10,21,19.6,11.4,8.2,18,GER
43a166b4,31,1967,21.9,22,14,9,0,26,31,-5,23.3,38.3,-15.0,18,GER
442b56fa,3,233,2.6,3,2,0,1,6,3,3,4.1,2.4,1.6,18,GER
44e471ca,2,110,1.2,2,0,0,0,1,1,0,1.7,2.4,-0.7,18,GER
45870256,1,19,0.2,0,0,1,7,0,0,0,0.5,0.1,0.4,18,GER
45954ec7,16,1247,13.9,14,12,2,2,17,20,-3,15.5,25.8,-10.4,18,GER
45a03961,34,3060,34.0,34,34,0,0,36,36,0,40.3,43.5,-3.1,18,GER
45b7edae,27,2173,24.1,24,23,3,0,26,23,3,30.1,31.2,-1.2,18,GER
463503e2,23,1138,12.6,12,9,11,6,9,16,-7,12.9,17.8,-4.9,18,GER
47064058,34,3060,34.0,34,34,0,0,66,48,18,50.5,47.2,3.3,18,GER
48035304,33,2914,32.4,33,31,0,0,45,51,-6,48.9,50.0,-1.1,18,GER
482b70ad,15,1041,11.6,12,5,3,1,8,19,-11,14.2,17.6,-3.4,18,GER
49296448,29,2329,25.9,26,22,3,4,71,25,46,54.9,26.9,28.0,18,GER
496aeede,27,2151,23.9,26,17,1,0,27,32,-5,31.4,37.2,-5.8,18,GER
49d53c68,17,1417,15.7,17,15,0,2,24,19,5,22.7,18.0,4.8,18,GER
49fe9070,32,2494,27.7,28,19,4,1,47,46,1,41.0,37.9,3.1,18,GER
