id,goals,non_penalty_goals,shot,shot_on_target,tot_shot_dist,fk,pk,att_pk,xg,npxg,goals_minus_xg,non_penalty_goals_minus_npxg,non_pen_shots,season,comp
00459419,11,11,71,33,1029,0,0,0,8,8,2,2,71,18,ENG
008a6e6d,1,1,1,1,0,0,0,0,0,0,0,0,1,18,ENG
00963611,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
01226327,0,0,20,2,390,3,0,0,1,1,-1,-1,20,18,ENG
02b29014,7,7,47,17,972,0,0,0,3,3,3,3,47,18,ENG
032f894e,0,0,12,0,342,4,0,0,0,0,0,0,12,18,ENG
0356cf4f,0,0,1,0,8,0,0,0,0,0,0,0,1,18,ENG
0420d84f,0,0,5,2,48,0,0,0,1,1,-1,-1,5,18,ENG
0442183b,0,0,2,1,23,0,0,0,0,0,0,0,2,18,ENG
07802f7f,1,1,8,5,94,0,0,0,1,1,0,0,8,18,ENG
08aa17d0,3,3,16,3,342,0,0,0,0,0,2,2,16,18,ENG
099e666f,0,0,3,1,53,0,0,0,0,0,0,0,3,18,ENG
0c61c77c,0,0,1,0,29,0,0,0,0,0,0,0,1,18,ENG
0cc5f4a5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
0d267745,4,4,32,10,518,0,0,0,2,2,1,1,32,18,ENG
0db5d2c8,0,0,13,3,169,0,0,0,1,1,-1,-1,13,18,ENG
0e6bc38c,5,5,60,18,978,0,0,0,5,5,0,0,60,18,ENG
0ef89a37,7,7,54,17,1296,10,0,0,3,3,3,3,54,18,ENG
10072610,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
101da2b5,5,5,47,19,1085,0,0,0,2,2,2,2,47,18,ENG
10b9fa99,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
111c3236,1,1,10,3,289,0,0,0,0,0,0,0,10,18,ENG
1148323a,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
119b9a8e,0,0,3,0,79,0,0,0,0,0,0,0,3,18,ENG
11b9265b,0,0,12,2,274,1,0,0,0,0,0,0,12,18,ENG
129af0db,11,11,79,34,1074,0,0,0,13,13,-2,-2,79,18,ENG
12aa7661,0,0,17,3,440,2,0,0,0,0,0,0,17,18,ENG
15ea812b,0,0,18,4,178,0,0,0,1,1,-1,-1,18,18,ENG
15f3ec41,0,0,2,1,39,0,0,0,0,0,0,0,2,18,ENG
15fd5593,0,0,2,2,50,0,0,0,0,0,0,0,2,18,ENG
16380240,4,4,39,13,729,6,0,0,4,4,0,0,39,18,ENG
1695c659,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
16ceb862,7,7,48,14,535,0,0,0,6,6,0,0,48,18,ENG
1840e36d,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
184e4970,1,1,11,2,283,0,0,0,0,0,0,0,11,18,ENG
189cee7b,8,8,29,16,394,1,0,0,5,5,3,3,29,18,ENG
18b896d6,2,2,15,4,247,0,0,0,1,1,0,0,15,18,ENG
18e96f64,0,0,2,0,19,0,0,0,0,0,0,0,2,18,ENG
1931bde9,3,2,42,14,907,0,1,1,3,2,0,0,41,18,ENG
199ff86e,0,0,1,0,11,0,0,0,0,0,0,0,1,18,ENG
19b8b0b9,0,0,16,2,252,0,0,0,1,1,-1,-1,16,18,ENG
19ba6c6d,7,7,49,22,695,1,0,0,5,5,1,1,49,18,ENG
1a160ea3,0,0,5,0,70,0,0,0,0,0,0,0,5,18,ENG
1a2935f6,2,2,14,4,130,0,0,0,1,1,0,0,14,18,ENG
1a4ef233,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
1ae30132,0,0,2,2,64,0,0,0,0,0,0,0,2,18,ENG
1b780599,0,0,1,0,34,0,0,0,0,0,0,0,1,18,ENG
1b7ec703,2,2,24,8,424,1,0,0,2,2,0,0,24,18,ENG
1bebde9d,0,0,0,0,0,0,0,0,0,0,0,0,0,18,ENG
